A
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABNB
ABT
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AFG
AFL
AFRM
AGR
AIG
AJG
AKAM
ALB
ALGN
ALL
ALLE
ALLY
ALNY
AMAT
AMD
AME
AMGN
AMP
AMT
AMZN
ANSS
ANTM
AON
AOS
APD
APH
APO
APP
ARE
ATO
ATUS
ATVI
AVB
AVGO
AVLR
AVY
AWK
AXON
AXP
AZO
BA
BAC
BAH
BAX
BBY
BDX
BEN
BG
BIIB
BIO
BK
BKNG
BLK
BLL
BMRN
BMY
BR
BRKR
BRO
BSX
BSY
BWA
BX
BXP
C
CABO
CAG
CAH
CAT
CBRE
CCI
CCK
CCL
CDAY
CDNS
CDW
CE
CERN
CF
CFG
CG
CGNX
CHD
CHRW
CHTR
CI
CIEN
CINF
CL
CLF
CLR
CLX
CMCSA
CME
CMG
CMI
CMS
CNA
CNC
CNP
COF
COIN
COO
COP
COST
COUP
CPB
CPRT
CPT
CQP
CREE
CRL
CRM
CRWD
CSCO
CSGP
CSL
CSX
CTAS
CTLT
CTSH
CTXS
CUK
CVNA
CVS
CVX
CZR
D
DAL
DAR
DBX
DDOG
DE
DECK
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISCB
DISCK
DISH
DKNG
DLB
DLR
DLTR
DOCU
DOV
DPZ
DRE
DRI
DT
DTE
DUK
DVA
DVN
DXCM
EA
EBAY
ECL
ED
EFX
EIX
EL
ELAN
ELS
EMN
EMR
ENPH
ENTG
EOG
EPAM
EPD
EQH
EQIX
EQR
ES
ESS
ESTC
ET
ETR
ETSY
EW
EWBC
EXAS
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCX
FDS
FDX
FE
FFIV
FICO
FIS
FISV
FITB
FIVE
FIVN
FLT
FMC
FNF
FOX
FOXA
FRC
FTNT
FWONK
GD
GDDY
GDRX
GE
GGG
GH
GILD
GIS
GLPI
GLW
GM
GME
GNRC
GOOG
GOOGL
GPC
GPN
GPS
GS
GWW
HAL
HAS
HBAN
HCA
HD
HEI
HES
HIG
HOLX
HON
HPE
HPQ
HRL
HSIC
HST
HSY
HUBB
HUBS
HUM
HWM
IAC
IBKR
IBM
ICE
IDXX
IEP
IEX
IFF
ILMN
INCY
INTC
INTU
INVH
IP
IPG
IPGP
IQV
IR
IRM
ISRG
IT
ITW
IVZ
J
JBHT
JKHY
JNJ
JPM
K
KDP
KEY
KEYS
KHC
KKR
KLAC
KMB
KMI
KMX
KO
KR
KSU
LAD
LAMR
LBRDA
LBRDK
LDOS
LEA
LEN
LEVI
LH
LHX
LII
LKQ
LLY
LMT
LNC
LNG
LNT
LOGI
LOW
LPLA
LRCX
LSXMA
LSXMB
LSXMK
LUMN
LUV
LVS
LYFT
LYV
MA
MAA
MAR
MAS
MASI
MCD
MCFE
MCHP
MCK
MCO
MDB
MDLZ
MDT
MET
MGM
MHK
MKC
MKL
MKTX
MLM
MMC
MMM
MMP
MNST
MO
MOH
MOS
MPC
MPLX
MPW
MPWR
MQ
MRK
MRNA
MRO
MS
MSCI
MSFT
MSI
MTB
MTCH
MTN
MU
MXIM
NDAQ
NDSN
NEE
NEM
NEOG
NET
NFLX
NKE
NLOK
NLY
NOC
NOW
NSC
NTAP
NTLA
NTRA
NTRS
NUAN
NUE
NVAX
NVDA
NVR
NWL
NWS
NWSA
O
ODFL
OKE
OKTA
OLED
OMC
ON
ORCL
ORLY
OSH
OXY
PANW
PAYX
PCAR
PCG
PCTY
PEAK
PEG
PEGA
PENN
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PLUG
PM
PNC
PODD
POOL
PPD
PPG
PPL
PRU
PSA
PSX
PTC
PTON
PWR
PXD
PYPL
QCOM
QRVO
RCL
REG
REGN
RF
RGEN
RH
RJF
RMD
ROK
ROKU
ROL
ROP
ROST
RPM
RPRX
RSG
RTX
RUN
SAM
SBAC
SBNY
SBUX
SCCO
SCHW
SE
SHW
SIRI
SIVB
SJM
SMG
SNA
SNAP
SNOW
SNPS
SO
SPG
SPGI
SPLK
SQ
SRE
SSNC
STE
STLD
STT
STZ
SUI
SWK
SWKS
SYF
SYK
SYY
T
TDG
TDOC
TDY
TECH
TER
TFC
TFX
TGT
TJX
TMO
TMUS
TPL
TPR
TREX
TRGP
TRI
TRMB
TROW
TRU
TRV
TSCO
TSLA
TSN
TSP
TTC
TTD
TTWO
TW
TWLO
TXG
TXN
TXT
TYL
U
UAL
UDR
UHAL
UHS
UI
ULTA
UNH
UNP
UPS
URI
USB
V
VER
VFC
VIAC
VIACA
VLO
VMC
VMW
VRSK
VRSN
VRTX
VTR
VTRS
VZ
W
WAB
WAT
WBA
WDAY
WDC
WEC
WELL
WFC
WHR
WLK
WM
WMB
WMG
WMT
WPC
WRB
WSM
WSO
WST
WTRG
WY
WYNN
XEL
XLNX
XM
XOM
XPO
XRAY
XYL
YUM
YUMC
Z
ZBH
ZBRA
ZG
ZI
ZM
ZNGA
ZS
ZTS
